policy,n_windows,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,avg_names,utility_score
drop_low_20,2,0.02648836616676921,0.05297673233353842,0.02364517693476751,0.002843189232001697,35.5,0.049422745793536296
tilt_pos_100,2,0.02360906315062445,0.0472181263012489,0.020822020830832073,0.002787042319792375,50.0,0.04373432340150843
drop_low_30,1,0.02120208810784987,0.02120208810784987,0.02120208810784987,0.0,37.0,0.04240417621569974
tilt_super_50,2,0.022909232680701788,0.045818465361403576,0.019603797840234194,0.003305434840467596,50.0,0.04168667181081908
tilt_pos_50,2,0.022557814439163368,0.045115628878326736,0.019159601507120302,0.003398212932043067,50.0,0.040867862713272904
drop_low_10,2,0.022015631328946277,0.044031262657892555,0.019429387946280623,0.0025862433826656546,42.0,0.04079845842956048
tilt_pos_25,2,0.02201006920298253,0.04402013840596506,0.018288083192290243,0.0037219860106922874,50.0,0.039367655892599704
base,2,0.02145183975160342,0.04290367950320684,0.01739422239458062,0.0040576173570228,50.0,0.037831657806928334
drop_high_10,2,0.020468606109149114,0.04093721221829823,0.014408015635672601,0.006060590473476513,46.0,0.03336147412645259
