top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
40,0.5,0.0023391898404588433,0.00701756952137653,-0.011798709711136529,0.017410091364498056,-0.015553051848252005
45,0.5,0.0017133627156450289,0.005140088146935087,-0.012018408035278358,0.01771717123857763,-0.016506055253135497
50,0.5,0.0006126327339318777,0.0018378982017956333,-0.0118131750191698,0.016613090440547155,-0.017015123939429427
50,0.75,0.0009879208112886634,0.00296376243386599,-0.012720845537917844,0.01698649539332208,-0.01767819811429191
45,0.75,0.0015768975179231658,0.004730692553769497,-0.013322004324388112,0.017662007848638042,-0.01792680955348826
65,0.5,-0.0003892767770295955,-0.0011678303310887865,-0.01245396651656916,0.01494635430242925,-0.018074467299448994
40,0.75,0.001967496064206075,0.005902488192618224,-0.013890769021299224,0.017599763985087506,-0.018083190351873776
60,0.5,-0.0005230798617323305,-0.0015692395851969916,-0.012423772444829909,0.015212938217241432,-0.01827138068259674
65,0.75,-0.00018817858803083531,-0.000564535764092506,-0.012783136229401817,0.015458499396248025,-0.01838178960611946
60,0.75,-0.0001819904280854131,-0.0005459712842562393,-0.012969932487308544,0.015847182665066874,-0.01869843684816736
55,0.75,0.00016619386786847698,0.0004985816036054309,-0.013108346704408746,0.016481513741949675,-0.018710682646222655
50,1.0,0.0010502929067253974,0.0031508787201761923,-0.013845392213031826,0.017232369945489222,-0.018826428787227657
65,1.0,-1.836684292936518e-05,-5.510052878809554e-05,-0.013265061861821303,0.015897543491192087,-0.018847568926667897
55,0.5,-0.0004013483349196087,-0.001204045004758826,-0.012857759800617222,0.016069692546900646,-0.018883500526952056
80,0.75,-0.0006711477981282479,-0.002013443394384744,-0.013186242720050312,0.01469605758132951,-0.01900101067164389
70,0.75,-0.00040420922893167135,-0.001212627686795014,-0.013224577104582344,0.015366754608208232,-0.019007150446386897
80,0.5,-0.0009444122082989485,-0.0028332366248968455,-0.013091942314345018,0.014216486775448893,-0.019012124894051078
70,1.0,-0.00020082336898276376,-0.0006024701069482913,-0.013401687674979124,0.015697636116847186,-0.019096683684858402
80,1.0,-0.0004617574542347032,-0.0013852723627041097,-0.0133529643118534,0.015114100145251762,-0.01910465681692622
55,1.0,0.00046778335244467353,0.0014033500573340206,-0.013713060425701862,0.01679491172732673,-0.019123496177821542
100,0.5,-0.0012269984086784684,-0.003680995226035405,-0.013362022791185132,0.013050278463497038,-0.019156618662087562
60,1.0,7.996035681109963e-05,0.0002398810704332989,-0.013564362811512187,0.016307693003050433,-0.01919209500576874
100,0.75,-0.001039803375613886,-0.0031194101268416582,-0.013386393353362794,0.013631845236927117,-0.01919734256190117
70,0.5,-0.0006595098167921006,-0.001978529450376302,-0.013307141788784185,0.015053311309745888,-0.019235310563987345
100,1.0,-0.0008628574566571778,-0.0025885723699715334,-0.01343610002672875,0.014116462154726568,-0.019239719237540226
100,1.25,-0.0007069207597414801,-0.0021207622792244404,-0.013529643791607704,0.014527396761492985,-0.019321153417871727
80,1.25,-0.0003056675762342434,-0.0009170027287027302,-0.013602044229211116,0.015474655402372929,-0.019323841196275886
70,1.25,-5.895546610426919e-05,-0.00017686639831280757,-0.013762251516448581,0.016007856769135978,-0.019423956851750444
65,1.25,9.502024816587333e-05,0.00028506074449762,-0.013852415072112448,0.016257982418662265,-0.01944768867047837
100,1.5,-0.0005762225354074129,-0.0017286676062222388,-0.013673253305262478,0.014880850938113532,-0.019457773669009627
45,1.0,0.0013057991741175733,0.00391739752235272,-0.014754820541149821,0.01766406417912809,-0.01963144382972708
80,1.5,-0.00019839072077044995,-0.0005951721623113498,-0.013930291860690641,0.015784199522393454,-0.0196531524142988
60,1.25,0.00022825194280354696,0.0006847558284106409,-0.014242509951005983,0.016644079540478824,-0.019839685847370024
70,1.5,1.772407173237951e-05,5.317221519713852e-05,-0.0142521070120247,0.016283222492328213,-0.019933510812607195
55,1.25,0.0005532996472070046,0.0016598989416210137,-0.014542498681382077,0.01703302434569239,-0.019950757555167408
65,1.5,0.00013804176231683196,0.0004141252869504959,-0.01451826212282857,0.01654877271717818,-0.0201722908115241
50,1.25,0.0008951393030670283,0.002685417909201085,-0.01507810477771604,0.017402527604387034,-0.020273850136184473
60,1.5,0.00025677409114478283,0.0007703222734343484,-0.01500615011121706,0.016894815802619294,-0.020662561550989028
40,1.0,0.001406041684953142,0.004218125054859426,-0.015934018972395048,0.017759330966507555,-0.02074374312571955
55,1.5,0.0004678670829380155,0.0014036012488140466,-0.015506145822484649,0.017216820808583666,-0.021064166022550915
45,1.25,0.0008989862603064695,0.0026969587809194083,-0.016247763568042764,0.01770651052187532,-0.021546055990392655
50,1.5,0.0005853748172548861,0.0017561244517646582,-0.01635291014947292,0.01752902246008539,-0.02190269319324792
40,1.25,0.0007044460181879451,0.0021133380545638354,-0.017869495573393707,0.017895500362592916,-0.02342847468211328
45,1.5,0.0003756314447226454,0.0011268943341679362,-0.017743012458669355,0.01777118860237453,-0.023587297024777795
40,1.5,-9.588748929997837e-05,-0.0002876624678999351,-0.019668172914305282,0.018006722769721574,-0.02606641337300781
