heldout_as_of,selected_by_other_windows,selected_train_mean,final_train_mean,heldout_selected_excess,heldout_final_excess,final_rank_on_train,final_would_be_selected,heldout_no_alpha,heldout_no_regime,heldout_no_liquidity,heldout_no_secondary,heldout_no_route,heldout_final
2026-01-30,final,0.05476727272727271,0.05476727272727271,0.02235,0.02235,1,True,0.0070999999999999,0.01083,0.02222,0.02235,0.02235,0.02235
2026-02-06,final,0.05379727272727271,0.05379727272727271,0.03302,0.03302,1,True,0.02052,0.02767,0.02269,0.03302,0.03302,0.03302
2026-02-13,final,0.048320909090909074,0.048320909090909074,0.09326,0.09326,1,True,0.01662,0.05245,0.06579,0.09326,0.09326,0.09326
2026-03-02,final,0.05407272727272725,0.05407272727272725,0.02999,0.02999,1,True,0.02519,0.02999,0.02999,0.02999,0.02519,0.02999
2026-03-09,final,0.05426181818181817,0.05426181818181817,0.02791,0.02791,1,True,0.02528,0.02791,0.02791,0.02791,0.02528,0.02791
2026-03-16,final,0.05015999999999998,0.05015999999999998,0.07303,0.07303,1,True,0.02599,0.02599,0.07303,0.07303,0.07303,0.07303
2026-03-23,final,0.050874545454545436,0.050874545454545436,0.06517,0.06517,1,True,0.0451499999999999,0.06517,0.06517,0.06517,0.0451499999999999,0.06517
2026-03-30,final,0.05356272727272726,0.05356272727272726,0.0356,0.0356,1,True,0.03148,0.0356,0.03148,0.0356,0.0356,0.0356
2026-04-07,final,0.05067545454545453,0.05067545454545453,0.06736,0.06736,1,True,0.02391,0.03558,0.0554,0.06736,0.06736,0.06736
2026-04-14,final,0.052399999999999995,0.052399999999999995,0.04839,0.04839,1,True,0.01991,0.03694,0.04839,0.03694,0.04839,0.04839
2026-04-21,final,0.05237545454545455,0.05237545454545455,0.0486599999999999,0.0486599999999999,1,True,0.04293,0.0486599999999999,0.04293,0.0486599999999999,0.0486599999999999,0.0486599999999999
2026-04-28,final,0.049521818181818174,0.049521818181818174,0.08005,0.08005,1,True,0.04569,0.06938,0.08005,0.06606,0.08005,0.08005
