model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
baseline_guard_adaptive,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260109.csv,ok,,0.03635068350020269,0.02184372085495223,0.014506962645250462,60
baseline_guard_adaptive,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260123.csv,ok,,-0.014157618741054914,-0.02556947095085227,0.011411852209797355,30
baseline_guard_adaptive,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260227.csv,ok,,-0.006673544989801881,-0.03443052740386576,0.02775698241406388,498
baseline_guard_adaptive,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
baseline_guard_adaptive,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260313.csv,ok,,-0.03876873798696612,-0.058224849686849156,0.01945611169988304,30
baseline_guard_adaptive,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260116.csv,ok,,0.10975402866379183,0.04342355837240719,0.06633047029138464,30
baseline_guard_adaptive,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260320.csv,ok,,0.02808613886332293,-0.002889548078185755,0.030975686941508686,40
baseline_guard_adaptive,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260410.csv,ok,,0.054825667050556554,0.03072126825663024,0.024104398793926313,35
baseline_guard_adaptive,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_guard_adaptive,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_guard_adaptive,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260327.csv,ok,,-0.022759497876094076,-0.02619360438502094,0.003434106508926865,30
baseline_guard_adaptive,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/guard_tilt_nocache_fullweek12_20260510/baseline_guard_adaptive_20260417.csv,ok,,0.034644686989221504,0.0041004631738672526,0.03054422381535425,30
